PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Family_size,Age_scaled,Fare_scaled,Sex_male,Embarked_Q,Embarked_S
1,0,3,22.0,1,0,7.25,2,-0.5636740664747023,0.014151057562208049,True,False,True
2,1,1,38.0,1,0,71.2833,2,0.6692169576775449,0.13913573538264068,False,False,False
3,1,3,26.0,0,0,7.925,1,-0.2554513104366405,0.015468569817999833,False,False,True
4,1,1,35.0,1,0,53.1,2,0.4380498906489985,0.10364429745562033,False,False,True
5,0,3,35.0,0,0,8.05,1,0.4380498906489985,0.015712553569072387,True,False,True
6,0,3,28.0,0,0,8.4583,1,-0.10133993241760961,0.01650950209357577,True,True,False
7,0,1,54.0,0,0,51.8625,1,1.902107981829792,0.10122885832000206,True,False,True
8,0,3,2.0,3,1,21.075,5,-2.104787846665011,0.04113566043083236,True,False,True
9,1,3,27.0,0,2,11.1333,3,-0.17839562142712506,0.021730754366528396,False,False,True
10,1,2,14.0,1,0,30.0708,2,-1.1801195785508258,0.058694292654020104,False,False,False
11,1,3,4.0,1,1,16.7,3,-1.9506764686459803,0.03259622914329302,False,False,True
12,1,1,58.0,0,0,26.55,1,2.210330737867854,0.051822148727810165,False,False,True
13,0,3,20.0,0,0,8.05,1,-0.7177854444937332,0.015712553569072387,True,False,True
14,0,3,39.0,1,5,31.275,7,0.7462726466870603,0.06104473451835265,True,False,True
15,0,3,14.0,0,0,7.8542,1,-1.1801195785508258,0.015330377421392339,False,False,True
16,1,2,55.0,0,0,16.0,1,1.9791636708393074,0.03122992013728673,False,False,True
17,0,3,2.0,4,1,29.125,6,-2.104787846665011,0.05684821399990475,True,True,False
18,1,2,28.0,0,0,13.0,1,-0.10133993241760961,0.025374310111545468,True,False,True
19,0,3,31.0,1,0,18.0,2,0.12982713461093673,0.03513366015444757,False,False,True
20,1,3,28.0,0,0,7.225,1,-0.10133993241760961,0.014102260811993537,False,False,False
21,0,2,35.0,0,0,26.0,1,0.4380498906489985,0.050748620223090936,True,False,True
22,1,2,34.0,0,0,13.0,1,0.36099420163948304,0.025374310111545468,True,False,True
23,1,3,15.0,0,0,8.0292,1,-1.1030638895413103,0.015671954672893913,False,True,False
